QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE504_NEG_01.raw,PREC:mE504_NEG_02.raw,PREC:mE504_NEG_03.raw,PREC:mE504_NEG_04.raw,PREC:mE504_NEG_05.raw,SUMFA:mE504_NEG_01.raw,SUMFA:mE504_NEG_02.raw,SUMFA:mE504_NEG_03.raw,SUMFA:mE504_NEG_04.raw,SUMFA:mE504_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE504_NEG_01.raw,FA1INTENS:mE504_NEG_02.raw,FA1INTENS:mE504_NEG_03.raw,FA1INTENS:mE504_NEG_04.raw,FA1INTENS:mE504_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE504_NEG_01.raw,FA2INTENS:mE504_NEG_02.raw,FA2INTENS:mE504_NEG_03.raw,FA2INTENS:mE504_NEG_04.raw,FA2INTENS:mE504_NEG_05.raw,MASSFRAG1,FRAG1:mE504_NEG_01.raw,FRAG1:mE504_NEG_02.raw,FRAG1:mE504_NEG_03.raw,FRAG1:mE504_NEG_04.raw,FRAG1:mE504_NEG_05.raw,MASSFRAG2,FRAG2:mE504_NEG_01.raw,FRAG2:mE504_NEG_02.raw,FRAG2:mE504_NEG_03.raw,FRAG2:mE504_NEG_04.raw,FRAG2:mE504_NEG_05.raw,MASSNLS,NLS:mE504_NEG_01.raw,NLS:mE504_NEG_02.raw,NLS:mE504_NEG_03.raw,NLS:mE504_NEG_04.raw,NLS:mE504_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE504_NEG_01.raw,FAOINTENS:mE504_NEG_02.raw,FAOINTENS:mE504_NEG_03.raw,FAOINTENS:mE504_NEG_04.raw,FAOINTENS:mE504_NEG_05.raw,NEG
PANegMS2,H72 C41 O8 P1 ,1.2,PA,38,4,PA 38:4,PA 18:0-20:4,723.4979,118942.4,134492.7,13987.9,23893,0,155383.5,147427.8,102770.5,43740.8,13279.8,18:00,283.2644,155385.1,147429.4,89050.6,43742.4,13279.8,20:04,303.2331,-1.6,-1.6,13719.9,-1.6,0,152.995,98827.3,102137.3,23094.1,19726.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H74 C41 O8 P1 ,3.6,PA,38,3,PA 38:3,PA 14:3-24:0,725.5153,4842.5,-1.6,38513.9,21213.8,0,14001.1,-1.5,2914.5,0,4534.1,14:03,221.1539,13465,0,2914.5,0,0,24:00:00,367.3584,536.1,-1.5,0,0,4534.1,152.9949,51764.5,48342.5,13299.6,4549,2004.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H74 C41 O8 P1 ,3.6,PA,38,3,PA 38:3,PA 20:3-18:0,725.5153,4842.5,-1.6,38513.9,21213.8,0,73532.5,51731.9,72473,41277,15342.9,20:03,305.2467,-1.5,-1.5,3005.9,0,0,18:00,283.2643,73534,51733.5,69467.1,41277,15342.9,152.9949,51764.5,48342.5,13299.6,4549,2004.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H74 C41 O8 P1 ,3.6,PA,38,3,PA 38:3,PA 20:0-18:3,725.5153,4842.5,-1.6,38513.9,21213.8,0,2363.8,994.4,6133.1,0,0,20:00,311.2957,0,0,3418.5,0,0,18:03,277.216,2363.8,994.4,2714.6,0,0,152.9949,51764.5,48342.5,13299.6,4549,2004.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H74 C41 O8 P1 ,3.6,PA,38,3,PA 38:3,PA 20:2-18:1,725.5153,4842.5,-1.6,38513.9,21213.8,0,122675.7,81494.9,43546.3,25372,0,20:02,307.2638,10476.6,4906,0,0,0,18:01,281.2486,112199.1,76589,43546.3,25372,0,152.9949,51764.5,48342.5,13299.6,4549,2004.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H76 C41 O8 P1 ,2.6,PA,38,2,PA 38:2,PA 20:1-18:1,727.5302,-1.6,0,0,0,0,4286.3,3547.3,71394.8,38468.3,0,20:01,309.2775,4288,3548.9,0,0,0,18:01,281.2486,-1.6,-1.6,71394.8,38468.3,0,152.9949,38878.8,38866.6,25680.4,21179.6,3639.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H76 C41 O8 P1 ,2.6,PA,38,2,PA 38:2,PA 18:0-20:2,727.5302,-1.6,0,0,0,0,59954,37664.5,39923.9,21859.8,8481.4,18:00,283.2645,59955.6,37666.1,39923.9,21859.8,8481.4,20:02,307.2636,-1.6,-1.6,0,0,0,152.9949,38878.8,38866.6,25680.4,21179.6,3639.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H76 C41 O8 P1 ,2.6,PA,38,2,PA 38:2,PA 20:0-18:2,727.5302,-1.6,0,0,0,0,3792.1,-1.6,15722.2,3562.3,0,20:00,311.297,3793.8,0,0,3563.9,0,18:02,279.2329,-1.6,-1.6,15722.2,-1.6,0,152.9949,38878.8,38866.6,25680.4,21179.6,3639.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H80 C41 O8 P1 ,5,PA,38,0,PA 38:0,PA 18:0-20:0,731.5633,-1.6,0,0,0,0,-3.1,570.5,44917.4,28934.1,3740.9,18:00,283.2644,-1.6,572.1,44917.4,28934.1,3740.9,20:00,311.2967,-1.6,-1.6,0,0,0,152.995,25861.4,22146.5,10821.5,3861.6,3223.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H64 C43 O8 P1 ,1.9,PA,40,10,PA 40:10,PA 20:5-20:5,739.4358,0,4702.3,54134.6,65801.5,86749,0,941.9,0,0,0,20:05,301.2168,0,471,0,0,0,20:05,301.2168,0,471,0,0,0,152.9949,-1.6,-1.6,8462.9,-1.6,-1.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H66 C43 O8 P1 ,0.4,PA,40,9,PA 40:9,PA 22:6-18:3,741.4504,9314.9,0,231547.8,189215.2,0,3850.2,-1.7,0,0,0,22:06,327.2354,3850.2,0,0,0,0,18:03,277.216,0,-1.7,0,0,0,152.995,52062.3,63329.2,27012.6,23377.5,5974,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C43 O8 P1 ,-0.3,PA,40,8,PA 40:8,PA 20:4-20:4,743.4655,52272.2,13123.1,0,0,1096.9,91061.8,65822.6,5258.7,0,0,20:04,303.2331,45530.9,32911.3,2629.4,0,0,20:04,303.2331,45530.9,32911.3,2629.4,0,0,152.995,84864.5,63427.5,7898.5,4169.3,3251.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C43 O8 P1 ,1.7,PA,40,7,PA 40:7,PA 22:6-18:1,745.4826,5401.3,467,3285.6,0,0,2807.2,5940.7,8007.7,4884.8,0,22:06,327.2329,2808.8,5942.3,8009.3,4886.4,0,18:01,281.2487,-1.6,-1.6,-1.6,-1.6,0,152.995,41476.5,45132.9,11502.1,11771.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C43 O8 P1 ,1.7,PA,40,7,PA 40:7,PA 22:4-18:3,745.4826,5401.3,467,3285.6,0,0,3542.3,4833.6,3599.1,8161.9,0,22:04,331.2641,3542.3,4833.6,0,4400.1,0,18:03,277.2176,0,0,3599.1,3761.8,0,152.995,41476.5,45132.9,11502.1,11771.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C43 O8 P1 ,1.5,PA,40,6,PA 40:6,PA 18:2-22:4,747.4982,7630.2,4883.9,8876.5,6570.8,0,14547,6241.3,35494.7,2420.9,0,18:02,279.2329,10611.2,6241.3,35494.7,2420.9,0,22:04,331.265,3935.8,0,0,0,0,152.9949,20648.1,38407.4,8544.6,10622.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C43 O8 P1 ,1.5,PA,40,6,PA 40:6,PA 20:3-20:3,747.4982,7630.2,4883.9,8876.5,6570.8,0,-3.3,0,0,0,0,20:03,305.2473,-1.7,0,0,0,0,20:03,305.2473,-1.7,0,0,0,0,152.9949,20648.1,38407.4,8544.6,10622.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C43 O8 P1 ,1.5,PA,40,6,PA 40:6,PA 18:0-22:6,747.4982,7630.2,4883.9,8876.5,6570.8,0,15920.7,10765.8,47342.5,24731.2,7664.5,18:00,283.2661,15922.4,10767.5,47344.1,24732.9,7664.5,22:06,327.233,-1.7,-1.7,-1.7,-1.7,0,152.9949,20648.1,38407.4,8544.6,10622.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C43 O8 P1 ,1.5,PA,40,6,PA 40:6,PA 22:5-18:1,747.4982,7630.2,4883.9,8876.5,6570.8,0,214698.1,148119.9,59264.7,41522.6,0,22:05,329.2473,-1.7,4180.9,0,0,0,18:01,281.2487,214699.7,143939.1,59264.7,41522.6,0,152.9949,20648.1,38407.4,8544.6,10622.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H74 C43 O8 P1 ,1.5,PA,40,5,PA 40:5,PA 22:5-18:0,749.5138,690.2,0,58775.3,30888.5,0,74319.9,42785.5,91430,45537.5,13570.5,22:05,329.2485,-1.7,-1.7,0,-1.7,0,18:00,283.2654,74321.6,42787.2,91430,45539.2,13570.5,152.9949,48871.4,38278.2,12982,12743.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H74 C43 O8 P1 ,1.5,PA,40,5,PA 40:5,PA 18:1-22:4,749.5138,690.2,0,58775.3,30888.5,0,18531,11074.9,68824.8,24393.6,4887.9,18:01,281.2489,18291.2,11076.6,68824.8,24393.6,4887.9,22:04,331.2647,239.8,-1.7,0,0,0,152.9949,48871.4,38278.2,12982,12743.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H76 C43 O8 P1 ,-0.6,PA,40,4,PA 40:4,PA 18:0-22:4,751.5279,0,0,0,-1.7,0,46695.4,33574.9,66054,30153,12575.9,18:00,283.2642,46697,33576.5,66055.6,30154.6,12575.9,22:04,331.264,-1.6,-1.6,-1.6,-1.6,0,152.9949,49884.4,47372.8,24426.3,23924.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H76 C43 O8 P1 ,-0.6,PA,40,4,PA 40:4,PA 20:2-20:2,751.5279,0,0,0,-1.7,0,3815.9,1327.7,0,0,0,20:02,307.2644,1907.9,663.9,0,0,0,20:02,307.2644,1907.9,663.9,0,0,0,152.9949,49884.4,47372.8,24426.3,23924.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H80 C43 O8 P1 ,-3.2,PA,40,2,PA 40:2,PA 18:2-22:0,755.5573,2416.8,0,0,1512.9,0,3225.3,-1.6,-1.6,-1.6,0,18:02,279.233,-1.6,-1.6,-1.6,-1.6,0,22:00,339.3279,3226.9,0,0,0,0,152.9949,-1.6,-1.6,-1.6,-1.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H80 C43 O8 P1 ,-3.2,PA,40,2,PA 40:2,PA 22:1-18:1,755.5573,2416.8,0,0,1512.9,0,3106,-1.6,24187.3,2235.1,0,22:01,337.3104,3107.6,0,0,0,0,18:01,281.2485,-1.6,-1.6,24187.3,2235.1,0,152.9949,-1.6,-1.6,-1.6,-1.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H80 C43 O8 P1 ,-3.2,PA,40,2,PA 40:2,PA 20:1-20:1,755.5573,2416.8,0,0,1512.9,0,-3.2,-3.2,0,0,0,20:01,309.2795,-1.6,-1.6,0,0,0,20:01,309.2795,-1.6,-1.6,0,0,0,152.9949,-1.6,-1.6,-1.6,-1.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H80 C43 O8 P1 ,-3.2,PA,40,2,PA 40:2,PA 18:0-22:2,755.5573,2416.8,0,0,1512.9,0,-3.2,-3.2,19896.6,-1.6,9034.1,18:00,283.2642,-1.6,-1.6,19896.6,-1.6,9034.1,22:02,335.2947,-1.6,-1.6,0,0,0,152.9949,-1.6,-1.6,-1.6,-1.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C45 O8 P1 ,2.9,PA,42,10,PA 42:10,PA 22:6-20:4,767.468,3278.2,5351.4,0,0,0,7091.2,6981.7,-1.6,-1.6,0,22:06,327.2335,7092.8,6983.3,0,0,0,20:04,303.233,-1.6,-1.6,-1.6,-1.6,0,152.9949,67014.8,67563.5,9931.2,8845.6,4145.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C47 O8 P1 ,5.8,PA,44,10,PA 44:10,PA 22:6-22:4,795.5017,20723.1,-1.7,0,0,0,-3.3,-3.3,0,0,0,22:06,327.233,-1.7,-1.7,0,0,0,22:04,331.2643,-1.7,-1.7,0,0,0,152.9951,-1.7,-1.7,-1.7,-1.7,3956.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C47 O8 P1 ,5.8,PA,44,10,PA 44:10,PA 22:5-22:5,795.5017,20723.1,-1.7,0,0,0,10574.8,6614.7,0,0,0,22:05,329.2488,5287.4,3307.4,0,0,0,22:05,329.2488,5287.4,3307.4,0,0,0,152.9951,-1.7,-1.7,-1.7,-1.7,3956.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PAONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAONegMS2,H66 C43 O7 P1 ,-4.6,PAO-,40,10,PAO- 40:10,PAO- 18:4-22:6,725.4519,13562.8,5567.4,3016.2,9997.3,172867.2,22067.3,19765.4,0,0,0,22:06,327.2329,0,4355.2,0,0,0,None, None, None, None, None, None, None,152.9949,51764.5,48342.5,13299.6,4549,2004.6,None, None, None, None, None, None, None, None, None, None, None, None, 18:4,415.2259,22067.3,15410.2,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PEONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEONegMS2,H73 C37 N1 O7 P1 ,1.4,PEO-,32,1,PEO- 32:1,PEO- 16:1-16:0,674.5139,435353.2,251633.1,0,0,0,234162.3,229761.3,-1.6,5870,-1.6,16:00,255.2328,210946.4,213323.4,-1.6,5870,-1.6,None, None, None, None, None, None, None,196.0374,12498.9,7973.4,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2857,23215.9,16437.9,0,0,0,
PEONegMS2,H73 C39 N1 O7 P1 ,1.8,PEO-,34,3,PEO- 34:3,PEO- 16:1-18:2,698.5143,295426.5,206595.1,1302.3,3347,0,80589.9,66421.2,-1.6,-1.6,0,18:02,279.233,70352,58416.1,-1.6,-1.6,0,None, None, None, None, None, None, None,196.0375,7985.5,10917.4,0,2990.5,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2831,10238,8005,0,0,0,
PEONegMS2,H75 C39 N1 O7 P1 ,1.2,PEO-,34,2,PEO- 34:2,PEO- 18:2-16:0,700.5295,3422967.8,2281449.6,0,9780.8,0,626437.6,477535.6,-1.6,1282,-1.6,16:00,255.233,595725.4,454251.9,-1.6,1282,-1.6,None, None, None, None, None, None, None,196.0374,48257.9,42662.4,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2996,30712.2,23283.7,0,0,0,
PEONegMS2,H75 C39 N1 O7 P1 ,1.2,PEO-,34,2,PEO- 34:2,PEO- 16:1-18:1,700.5295,3422967.8,2281449.6,0,9780.8,0,2126935.3,1608196.6,-1.6,7528.6,2622.6,18:01,281.2485,1997684.3,1512205.8,-1.6,7528.6,2622.6,None, None, None, None, None, None, None,196.0374,48257.9,42662.4,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2837,129251,95990.7,0,0,0,
PEONegMS2,H77 C39 N1 O7 P1 ,3.2,PEO-,34,1,PEO- 34:1,PEO- 18:1-16:0,702.5466,25467.5,31575.8,0,0,0,502841.7,403934.3,-1.6,89.5,-1.6,16:00,255.2329,494266.7,397596.3,-1.6,89.5,-1.6,None, None, None, None, None, None, None,196.0372,-1.6,-1.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3175,8574.9,6338,0,0,0,
PEONegMS2,H77 C39 N1 O7 P1 ,3.2,PEO-,34,1,PEO- 34:1,PEO- 16:1-18:0,702.5466,25467.5,31575.8,0,0,0,9644.8,24472.4,-1.6,4910.3,-1.6,18:00,283.2634,9646.4,24472.4,-1.6,4910.3,-1.6,None, None, None, None, None, None, None,196.0372,-1.6,-1.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2829,-1.6,0,0,0,0,
PEONegMS2,H71 C41 N1 O7 P1 ,1.5,PEO-,36,6,PEO- 36:6,PEO- 16:1-20:5,720.4985,38432.6,12165.3,0,0,0,31972.9,27333.2,0,0,0,20:05,301.2174,26919.6,21914.8,0,0,0,None, None, None, None, None, None, None,196.0373,5901,5070.5,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2835,5053.3,5418.3,0,0,0,
PEONegMS2,H73 C41 N1 O7 P1 ,4.3,PEO-,36,5,PEO- 36:5,PEO- 16:1-20:4,722.5161,10477260.7,7427756.5,13507.5,-1.6,-1.6,4746258.4,4011855.5,54130.8,107984.8,0,20:04,303.233,4132817.7,3473687.8,43951.3,91666.2,0,None, None, None, None, None, None, None,196.0372,166462.6,148538.1,0,4387.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.283,613440.6,538167.6,10179.5,16318.6,0,
PEONegMS2,H75 C41 N1 O7 P1 ,1.9,PEO-,36,4,PEO- 36:4,PEO- 16:1-20:3,724.53,819448.5,551876.7,-1.6,-1.6,0,237717.3,196433.8,-1.6,2714.2,0,20:03,305.2462,222530.9,186073.5,-1.6,2714.2,0,None, None, None, None, None, None, None,196.0373,11460.5,12922.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.284,15186.4,10360.3,0,0,0,
PEONegMS2,H75 C41 N1 O7 P1 ,1.9,PEO-,36,4,PEO- 36:4,PEO- 16:0-20:4,724.53,819448.5,551876.7,-1.6,-1.6,0,290548.7,245788.8,7733.3,16486.3,0,20:04,303.2327,261297.1,220444.3,7733.3,13271.8,0,None, None, None, None, None, None, None,196.0373,11460.5,12922.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,438.2959,29251.6,25344.5,0,3214.4,0,
PEONegMS2,H75 C41 N1 O7 P1 ,1.9,PEO-,36,4,PEO- 36:4,PEO- 18:2-18:2,724.53,819448.5,551876.7,-1.6,-1.6,0,259658.9,218821,17790,21799.6,0,18:02,279.233,253409.7,214084.4,17790,21799.6,0,None, None, None, None, None, None, None,196.0373,11460.5,12922.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2977,6249.3,4736.6,0,0,0,
PEONegMS2,H75 C41 N1 O7 P1 ,1.9,PEO-,36,4,PEO- 36:4,PEO- 18:3-18:1,724.53,819448.5,551876.7,-1.6,-1.6,0,210524.3,174471.8,2143.7,7760.8,0,18:01,281.2482,201659.3,169717.8,2143.7,7760.8,0,None, None, None, None, None, None, None,196.0373,11460.5,12922.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:3,460.2822,8865,4754,0,0,0,
PEONegMS2,H77 C41 N1 O7 P1 ,2.1,PEO-,36,3,PEO- 36:3,PEO- 18:1-18:2,726.5458,1249214.9,852489.1,13306.5,29041.2,0,262762.2,217019.3,38486.9,54991.9,0,18:02,279.2329,252484.5,207600.1,38486.9,54991.9,0,None, None, None, None, None, None, None,196.0375,17680.6,15673.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3161,10277.8,9419.2,0,0,0,
PEONegMS2,H77 C41 N1 O7 P1 ,2.1,PEO-,36,3,PEO- 36:3,PEO- 16:0-20:3,726.5458,1249214.9,852489.1,13306.5,29041.2,0,20965.9,6173.9,864.2,0,0,20:03,305.2474,19791.1,6173.9,864.2,0,0,None, None, None, None, None, None, None,196.0375,17680.6,15673.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,438.2973,1174.9,0,0,0,0,
PEONegMS2,H77 C41 N1 O7 P1 ,2.1,PEO-,36,3,PEO- 36:3,PEO- 18:2-18:1,726.5458,1249214.9,852489.1,13306.5,29041.2,0,703819.9,523879.4,-1.6,-1.6,0,18:01,281.2486,667558.9,495613.4,-1.6,-1.6,0,None, None, None, None, None, None, None,196.0375,17680.6,15673.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2995,36261,28266,0,0,0,
PEONegMS2,H79 C41 N1 O7 P1 ,2.3,PEO-,36,2,PEO- 36:2,PEO- 18:0-18:2,728.5617,1034719.4,683197.1,41958.2,35309.1,0,286578.4,230842.6,57933.4,63836.4,0,18:02,279.233,273313.5,217556.6,57933.4,63836.4,0,None, None, None, None, None, None, None,196.0376,14566.2,12352.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3313,13264.9,13286,0,0,0,
PEONegMS2,H79 C41 N1 O7 P1 ,2.3,PEO-,36,2,PEO- 36:2,PEO- 16:1-20:1,728.5617,1034719.4,683197.1,41958.2,35309.1,0,72388.1,55892.4,0,0,0,20:01,309.2799,72388.1,52290,0,0,0,None, None, None, None, None, None, None,196.0376,14566.2,12352.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2838,0,3602.4,0,0,0,
PEONegMS2,H79 C41 N1 O7 P1 ,2.3,PEO-,36,2,PEO- 36:2,PEO- 18:1-18:1,728.5617,1034719.4,683197.1,41958.2,35309.1,0,690972.4,533371,-1.6,13183.2,0,18:01,281.2486,656739.6,502826.8,-1.6,13183.2,0,None, None, None, None, None, None, None,196.0376,14566.2,12352.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3152,34232.8,30544.2,0,0,0,
PEONegMS2,H81 C41 N1 O7 P1 ,2.2,PEO-,36,1,PEO- 36:1,PEO- 18:0-18:1,730.5772,31903.6,8060.4,0,0,0,147074,116529.9,22399,22509.9,0,18:01,281.2485,141899.5,113555.8,22399,22509.9,0,None, None, None, None, None, None, None,196.0373,2572.3,3025.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3292,5174.5,2974.1,0,0,0,
PEONegMS2,H71 C43 N1 O7 P1 ,-0.5,PEO-,38,8,PEO- 38:8,PEO- 16:2-22:6,744.497,2484,0,0,0,0,17642.7,5449.6,0,0,0,22:06,327.2325,13245.2,5449.6,0,0,0,None, None, None, None, None, None, None,196.0377,29444.6,20763.3,2077.4,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:2,434.2639,4397.5,0,0,0,0,
PEONegMS2,H73 C43 N1 O7 P1 ,2.2,PEO-,38,7,PEO- 38:7,PEO- 18:3-20:4,746.5147,9081267.1,6615571.3,401927.3,550705.4,0,320779.2,258477.5,12189.3,9654.8,0,20:04,303.2328,281943.2,225930.9,12189.3,9654.8,0,None, None, None, None, None, None, None,196.0373,143553.2,121580.6,4141.7,4475.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:3,460.2833,38836,32546.6,0,0,0,
PEONegMS2,H73 C43 N1 O7 P1 ,2.2,PEO-,38,7,PEO- 38:7,PEO- 16:1-22:6,746.5147,9081267.1,6615571.3,401927.3,550705.4,0,2129183.8,1727082.2,87402.1,100908.3,0,22:06,327.2331,1606026.5,1301262.7,66021.4,76327.9,0,None, None, None, None, None, None, None,196.0373,143553.2,121580.6,4141.7,4475.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2834,523157.2,425819.6,21380.7,24580.4,0,
PEONegMS2,H75 C43 N1 O7 P1 ,2.4,PEO-,38,6,PEO- 38:6,PEO- 18:2-20:4,748.5304,7975090.1,5616946.3,148229.2,228100.1,0,2051731.9,1653759.8,42074.2,47398,0,20:04,303.2331,1788472.4,1440363.1,37356.1,42161.5,0,None, None, None, None, None, None, None,196.0374,79048.5,62262.5,0,2766.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2992,263259.5,213396.7,4718.1,5236.5,0,
PEONegMS2,H75 C43 N1 O7 P1 ,2.4,PEO-,38,6,PEO- 38:6,PEO- 16:0-22:6,748.5304,7975090.1,5616946.3,148229.2,228100.1,0,95534.7,72934.1,11817.3,15647.3,0,22:06,327.233,-1.7,-1.7,6346.3,10322.9,0,None, None, None, None, None, None, None,196.0374,79048.5,62262.5,0,2766.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,438.2979,95536.3,72935.7,5471,5324.4,0,
PEONegMS2,H75 C43 N1 O7 P1 ,2.4,PEO-,38,6,PEO- 38:6,PEO- 16:1-22:5,748.5304,7975090.1,5616946.3,148229.2,228100.1,0,1240090.4,970378.5,15119.4,18061.1,0,22:05,329.2479,1112288.3,873376.1,15119.4,18062.8,0,None, None, None, None, None, None, None,196.0374,79048.5,62262.5,0,2766.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2836,127802.1,97002.4,0,-1.7,0,
PEONegMS2,H75 C43 N1 O7 P1 ,2.4,PEO-,38,6,PEO- 38:6,PEO- 18:1-20:5,748.5304,7975090.1,5616946.3,148229.2,228100.1,0,25801.4,20123.9,0,0,0,20:05,301.2174,20903,20123.9,0,0,0,None, None, None, None, None, None, None,196.0374,79048.5,62262.5,0,2766.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3159,4898.3,0,0,0,0,
PEONegMS2,H77 C43 N1 O7 P1 ,2.4,PEO-,38,5,PEO- 38:5,PEO- 18:1-20:4,750.5461,15686417,10625910.4,306578.6,419291.4,0,3057323.8,2736718.4,138875.5,157272.6,0,20:04,303.233,2640711.1,2369875.6,125550,139484.2,0,None, None, None, None, None, None, None,196.0373,232865.1,182772.5,6772.5,4907.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3144,416612.7,366842.7,13325.5,17788.4,0,
PEONegMS2,H77 C43 N1 O7 P1 ,2.4,PEO-,38,5,PEO- 38:5,PEO- 18:2-20:3,750.5461,15686417,10625910.4,306578.6,419291.4,0,79971.7,67382.7,0,0,0,20:03,305.2456,79973.3,67384.3,0,0,0,None, None, None, None, None, None, None,196.0373,232865.1,182772.5,6772.5,4907.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.3,-1.7,-1.7,0,0,0,
