QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,SPECIE,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE531_NEG_01.raw,FA2INTENS:mE531_NEG_02.raw,FA2INTENS:mE531_NEG_03.raw,FA2INTENS:mE531_NEG_04.raw,FA2INTENS:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE531_NEG_01.raw,FAOINTENS:mE531_NEG_02.raw,FAOINTENS:mE531_NEG_03.raw,FAOINTENS:mE531_NEG_04.raw,FAOINTENS:mE531_NEG_05.raw,NEG
PINegMS2,1.1,H78 C47 O13 P1 ,PI,38,6,None, PI 38:6,881.5195,7826.3,319617.2,706509.5,487673.5,0,13180.8,65357.8,-3.5,8477.3,0,152.9949,909.2,15280,-1.8,9534.8,0,PI 22:6-16:0,22:7,327.2326,0,11820.6,-1.8,0,0,16:1,255.2328,13180.8,53537.2,-1.8,8477.3,0,241.0116,0,40277.9,47299,23122.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.1,H78 C47 O13 P1 ,PI,38,6,None, PI 38:6,881.5195,7826.3,319617.2,706509.5,487673.5,0,0,4333.3,39548.7,0,0,152.9949,909.2,15280,-1.8,9534.8,0,PI 18:2-20:4,18:3,279.2328,0,0,21977.4,0,0,20:5,303.2328,0,4333.3,17571.4,0,0,241.0116,0,40277.9,47299,23122.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.1,H80 C47 O13 P1 ,PI,38,5,None, PI 38:5,883.5352,3329.7,848917.1,3753813.3,2304612.3,0,0,0,6894.4,-1.8,0,152.9949,-1.8,-1.8,81924.6,48409.7,0,PI 20:3-18:2,20:4,305.2507,0,0,5590.2,0,0,18:3,279.2318,0,0,1304.1,-1.8,0,241.0112,4989.3,90731.1,252152.6,116196.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.1,H80 C47 O13 P1 ,PI,38,5,None, PI 38:5,883.5352,3329.7,848917.1,3753813.3,2304612.3,0,14269.6,-1.8,31648.4,166620.5,0,152.9949,-1.8,-1.8,81924.6,48409.7,0,PI 20:5-18:0,20:6,301.2171,0,0,0,41669,0,18:1,283.2643,14269.6,-1.8,31648.4,124951.4,0,241.0112,4989.3,90731.1,252152.6,116196.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.1,H80 C47 O13 P1 ,PI,38,5,None, PI 38:5,883.5352,3329.7,848917.1,3753813.3,2304612.3,0,2759.1,4098.2,7700.3,13781.7,0,152.9949,-1.8,-1.8,81924.6,48409.7,0,PI 16:0-22:5,16:1,255.2332,2759.1,4098.2,5146.5,13781.7,0,22:6,329.2484,0,0,2553.8,0,0,241.0112,4989.3,90731.1,252152.6,116196.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.1,H80 C47 O13 P1 ,PI,38,5,None, PI 38:5,883.5352,3329.7,848917.1,3753813.3,2304612.3,0,8785.9,213073.5,491153.6,47139.1,0,152.9949,-1.8,-1.8,81924.6,48409.7,0,PI 18:1-20:4,18:2,281.2484,4200.7,131223.7,304693.3,30704.1,0,20:5,303.2326,4585.2,81849.8,186460.3,16435,0,241.0112,4989.3,90731.1,252152.6,116196.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1,H82 C47 O13 P1 ,PI,38,4,None, PI 38:4,885.5508,668226.9,4489730.7,24883713,1914837.5,0,0,4301.2,6276.8,40528,0,152.9948,20157.5,219278.6,618073.8,52004.8,3707.1,PI 20:3-18:1,20:4,305.2471,0,4302.9,0,15380.2,0,18:2,281.2489,0,-1.8,6276.8,25147.8,0,241.0114,35320.8,521697.6,1544732.5,110978.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1,H82 C47 O13 P1 ,PI,38,4,None, PI 38:4,885.5508,668226.9,4489730.7,24883713,1914837.5,0,6573.8,8885.5,3449.4,3155.2,0,152.9948,20157.5,219278.6,618073.8,52004.8,3707.1,PI 16:0-22:4,16:1,255.2331,6573.8,5912.1,3449.4,3155.2,0,22:5,331.2646,0,2973.5,0,0,0,241.0114,35320.8,521697.6,1544732.5,110978.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1,H82 C47 O13 P1 ,PI,38,4,None, PI 38:4,885.5508,668226.9,4489730.7,24883713,1914837.5,0,97908,1192141.2,3403735.9,245177.9,0,152.9948,20157.5,219278.6,618073.8,52004.8,3707.1,PI 18:0-20:4,18:1,283.2641,63943.2,729217,2178161.1,155273.8,0,20:5,303.2329,33964.8,462924.3,1225574.8,89904.1,0,241.0114,35320.8,521697.6,1544732.5,110978.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.7,H84 C47 O13 P1 ,PI,38,3,None, PI 38:3,887.5671,0,0,0,1370035.5,0,11630.3,20773.1,105200,168155.5,0,152.9947,15186.1,18620.9,59940.5,37110.3,0,PI 20:3-18:0,20:4,305.2454,4948.3,9564.5,39909.5,67206.8,0,18:1,283.2641,6682.1,11208.6,65290.5,100948.7,0,241.0116,0,299.5,21979.9,65653.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.3,H86 C47 O13 P1 ,PI,38,2,None, PI 38:2,889.5809,0,716.4,0,0,0,8693.4,14108.8,380.5,4847.9,0,152.995,2713.1,9684.8,22814.7,-1.8,0,PI 20:2-18:0,20:3,307.2622,0,0,0,4849.7,0,18:1,283.2644,8693.4,14108.8,380.5,-1.8,0,241.0116,3786.3,0,-1.8,-1.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.6,H78 C49 O13 P1 ,PI,40,8,None, PI 40:8,905.518,0,1173,416054.3,57846.9,0,0,0,114448.8,0,0,152.9949,4265.2,9097.7,50655.4,6375.5,0,PI 20:4-20:4,20:5,303.2331,0,0,57224.4,0,0,20:5,303.2331,0,0,57224.4,0,0,241.011,0,4077.8,33532.3,4216.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-2,H80 C49 O13 P1 ,PI,40,7,None, PI 40:7,907.5324,544.9,40095,200386.5,63865.8,0,0,0,18130.5,0,0,152.995,890.8,11306.1,20414.4,3007.4,0,PI 20:3-20:4,20:4,305.2479,0,0,12443.6,0,0,20:5,303.2336,0,0,5687,0,0,241.0114,0,4154.1,12710,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-2,H80 C49 O13 P1 ,PI,40,7,None, PI 40:7,907.5324,544.9,40095,200386.5,63865.8,0,0,8878.6,15179,4360.8,0,152.995,890.8,11306.1,20414.4,3007.4,0,PI 22:6-18:1,22:7,327.2322,0,0,6609.5,0,0,18:2,281.2484,0,8878.6,8569.5,4360.8,0,241.0114,0,4154.1,12710,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.9,H82 C49 O13 P1 ,PI,40,6,None, PI 40:6,909.5507,8248.5,335376.3,645480.3,337514.1,0,9076.1,73938.5,70242.9,7316.8,0,152.995,2313.5,26407.4,31317.2,12406.5,0,PI 22:6-18:0,22:7,327.2325,0,15267.5,14656.4,0,0,18:1,283.2648,9076.1,58671,55586.5,7316.8,0,241.0117,0,44192.6,42855.3,22260.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.9,H82 C49 O13 P1 ,PI,40,6,None, PI 40:6,909.5507,8248.5,335376.3,645480.3,337514.1,0,0,2621.1,11296.3,32363.8,0,152.995,2313.5,26407.4,31317.2,12406.5,0,PI 22:5-18:1,22:6,329.2488,0,0,0,7694,0,18:2,281.2484,0,2621.1,11296.3,24669.8,0,241.0117,0,44192.6,42855.3,22260.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.9,H82 C49 O13 P1 ,PI,40,6,None, PI 40:6,909.5507,8248.5,335376.3,645480.3,337514.1,0,0,0,12116.2,0,0,152.995,2313.5,26407.4,31317.2,12406.5,0,PI 18:2-22:4,18:3,279.2327,0,0,6830.8,0,0,22:5,331.2656,0,0,5285.4,0,0,241.0117,0,44192.6,42855.3,22260.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.9,H84 C49 O13 P1 ,PI,40,5,None, PI 40:5,911.5647,0,-1.8,446750.1,572705.2,0,3126.9,6382.9,43484.1,68935,0,152.9949,6839.4,11837,33242.5,16877.7,0,PI 22:5-18:0,22:6,329.2483,0,0,10582.6,20978.5,0,18:1,283.2639,3126.9,6382.9,32901.4,47956.6,0,241.0113,5521.5,-1.8,36419.9,32772.4,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.9,H84 C49 O13 P1 ,PI,40,5,None, PI 40:5,911.5647,0,-1.8,446750.1,572705.2,0,0,11170,21164.5,0,0,152.9949,6839.4,11837,33242.5,16877.7,0,PI 20:1-20:4,20:2,309.2792,0,5982.1,6508.8,0,0,20:5,303.2329,0,5187.9,14655.7,0,0,241.0113,5521.5,-1.8,36419.9,32772.4,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.9,H84 C49 O13 P1 ,PI,40,5,None, PI 40:5,911.5647,0,-1.8,446750.1,572705.2,0,4343.5,6242.6,37699.1,772.7,0,152.9949,6839.4,11837,33242.5,16877.7,0,PI 18:1-22:4,18:2,281.2493,4343.5,6242.6,28574.5,772.7,0,22:5,331.2636,0,0,9124.6,0,0,241.0113,5521.5,-1.8,36419.9,32772.4,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.2,H86 C49 O13 P1 ,PI,40,4,None, PI 40:4,913.581,1032,20712.3,785237.3,-1.8,0,5716.1,27031.3,171192.1,5573.1,0,152.9952,3937.8,16155.2,64809.6,1717.4,0,PI 18:0-22:4,18:1,283.2646,5716.1,27031.3,108310.6,5573.1,0,22:5,331.2635,0,0,62881.5,0,0,241.0116,0,5758.8,75777.2,1247.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-4.4,H90 C49 O13 P1 ,PI,40,2,None, PI 40:2,917.6084,-1.8,0,352.8,-1.8,-1.8,0,13686.6,0,0,0,152.9949,4313.8,2705.6,11088.1,2362.5,0,PI 20:1-20:1,20:2,309.281,0,6843.3,0,0,0,20:2,309.281,0,6843.3,0,0,0,241.0124,0,5606,14740.6,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-3.9,H82 C51 O13 P1 ,PI,42,8,None, PI 42:8,933.5462,0,0,0,1445.7,0,0,0,11077.8,0,0,152.9949,14978.7,20221.3,28731.2,4439.7,0,PI 20:4-22:4,20:5,303.2329,0,0,6672.7,0,0,22:5,331.2618,0,0,4405.2,0,0,241.0117,14237.8,15293.9,29563.1,4866.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PSONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PSNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSNegMS2,0.5,H71 C38 N1 O10 P1 ,PS,32,1,None, PS 32:1,732.4825,0,0,5316,138222.1,0,4974.9,14914.2,135375.7,25453.5,0,,2558.8,8557,18163.2,14618.2,0,PS 16:0-16:1,16:0,255.2328,4974.9,14914.2,131955.3,20256.8,0,16:1,253.2173,0,0,3420.3,5196.7,0,None, None, None, None, None, None,87.0333,0,0,0,4092.7,0,None, None, None, None, None, None, None,
PSNegMS2,0.5,H71 C38 N1 O10 P1 ,PS,32,1,None, PS 32:1,732.4825,0,0,5316,138222.1,0,2465.6,1728.9,8945.8,12710.2,0,,2558.8,8557,18163.2,14618.2,0,PS 18:1-14:0,18:1,281.2487,2465.6,1728.9,8945.8,8961,0,14:0,227.2002,0,0,0,3749.2,0,None, None, None, None, None, None,87.0333,0,0,0,4092.7,0,None, None, None, None, None, None, None,
PSNegMS2,0.5,H71 C38 N1 O10 P1 ,PS,32,1,None, PS 32:1,732.4825,0,0,5316,138222.1,0,6176.3,9281.3,5010.7,18573.1,0,,2558.8,8557,18163.2,14618.2,0,PS 18:0-14:1,18:0,283.2645,6176.3,9281.3,5010.7,13756.4,0,14:1,225.1867,0,0,0,4816.7,0,None, None, None, None, None, None,87.0333,0,0,0,4092.7,0,None, None, None, None, None, None, None,
PSNegMS2,-1,H73 C38 N1 O10 P1 ,PS,32,0,None, PS 32:0,734.497,0,0,101339.8,-1.6,0,10706.2,21711.4,74081.9,726.6,0,,3754.5,8049.8,24128.3,-1.6,0,PS 16:0-16:0,16:0,255.2329,5353.1,10855.7,37041,363.3,0,16:0,255.2329,5353.1,10855.7,37041,363.3,0,None, None, None, None, None, None,87.0336,0,0,5352.2,0,0,None, None, None, None, None, None, None,
PSNegMS2,0.8,H75 C40 N1 O10 P1 ,PS,34,1,None, PS 34:1,760.514,2094.6,362914.7,344546,798222.2,0,-1.7,23304,44570.4,120958.8,0,,13183.9,95623.5,39733.2,73321.4,0,PS 18:0-16:1,18:0,283.2648,-1.7,17843.4,24268,88551.5,0,16:1,253.2174,0,5460.6,20302.4,32407.3,0,None, None, None, None, None, None,87.0328,0,32431,18924.4,28899.6,0,None, None, None, None, None, None, None,
PSNegMS2,0.8,H75 C40 N1 O10 P1 ,PS,34,1,None, PS 34:1,760.514,2094.6,362914.7,344546,798222.2,0,11420.1,229816.7,127863.6,90897.6,0,,13183.9,95623.5,39733.2,73321.4,0,PS 18:1-16:0,18:1,281.2483,5086.8,70034.9,55060.9,27944.2,0,16:0,255.2329,6333.3,159781.8,72802.7,62953.5,0,None, None, None, None, None, None,87.0328,0,32431,18924.4,28899.6,0,None, None, None, None, None, None, None,
PSNegMS2,-2.3,H77 C40 N1 O10 P1 ,PS,34,0,None, PS 34:0,762.5273,1099.4,0,-1.6,-1.6,0,7304.8,200306.2,207703.2,-3.3,0,,-1.6,-1.6,23727.3,-1.6,0,PS 18:0-16:0,18:0,283.2675,-1.6,1386.5,37837.8,-1.6,0,16:0,255.233,7306.5,198919.7,169865.3,-1.6,0,None, None, None, None, None, None,87.0339,0,-1.6,-1.6,0,0,None, None, None, None, None, None, None,
PSNegMS2,1.2,H71 C42 N1 O10 P1 ,PS,36,5,None, PS 36:5,780.4831,0,0,201032.5,0,0,2229.2,7064.3,109451.7,4367.8,0,,5614.7,-1.7,40314.8,5077.4,887.5,PS 20:4-16:1,20:4,303.2329,2229.2,3746.3,62414.5,4369.4,0,16:1,253.2177,0,3317.9,47037.1,-1.7,0,None, None, None, None, None, None,87.0345,0,0,10056.5,0,0,None, None, None, None, None, None, None,
PSNegMS2,1.2,H71 C42 N1 O10 P1 ,PS,36,5,None, PS 36:5,780.4831,0,0,201032.5,0,0,-1.7,-1.7,4147.8,52136.3,0,,5614.7,-1.7,40314.8,5077.4,887.5,PS 16:0-20:5,16:0,255.233,-1.7,-1.7,-1.7,52136.3,0,20:5,301.218,0,0,4149.5,0,0,None, None, None, None, None, None,87.0345,0,0,10056.5,0,0,None, None, None, None, None, None, None,
PSNegMS2,0.9,H77 C42 N1 O10 P1 ,PS,36,2,None, PS 36:2,786.5298,32434,1354914.1,998340.7,1654161.2,0,0,5969.3,0,3622,0,,21071.2,274357.2,170267.7,148543.9,0,PS 20:1-16:1,20:1,309.2796,0,5969.3,0,0,0,16:1,253.2182,0,0,0,3622,0,None, None, None, None, None, None,87.0337,3730.4,108158.9,60463,63466.5,0,None, None, None, None, None, None, None,
PSNegMS2,0.9,H77 C42 N1 O10 P1 ,PS,36,2,None, PS 36:2,786.5298,32434,1354914.1,998340.7,1654161.2,0,0,1658917.5,-3.4,251911.4,0,,21071.2,274357.2,170267.7,148543.9,0,PS 18:1-18:1,18:1,281.2485,0,829458.8,-1.7,125955.7,0,18:1,281.2485,0,829458.8,-1.7,125955.7,0,None, None, None, None, None, None,87.0337,3730.4,108158.9,60463,63466.5,0,None, None, None, None, None, None, None,
PSNegMS2,0.9,H77 C42 N1 O10 P1 ,PS,36,2,None, PS 36:2,786.5298,32434,1354914.1,998340.7,1654161.2,0,1364.8,23652.5,509345,310542.9,0,,21071.2,274357.2,170267.7,148543.9,0,PS 18:2-18:0,18:2,279.2326,1366.5,6626.5,165817.7,81143.7,0,18:0,283.2644,-1.7,17026,343527.4,229399.3,0,None, None, None, None, None, None,87.0337,3730.4,108158.9,60463,63466.5,0,None, None, None, None, None, None, None,
PSNegMS2,0.9,H79 C42 N1 O10 P1 ,PS,36,1,None, PS 36:1,788.5454,21086.2,3367981.2,255538.3,2298809.6,0,2893.2,14876.4,20315.8,4825.8,0,,9447,631897.2,33540.5,187903,0,PS 20:1-16:0,20:1,309.2806,0,4372.4,0,0,0,16:0,255.2325,2893.2,10504.1,20315.8,4825.8,0,None, None, None, None, None, None,87.0344,0,208389.3,3777.9,66006.5,0,None, None, None, None, None, None, None,
PSNegMS2,0.9,H79 C42 N1 O10 P1 ,PS,36,1,None, PS 36:1,788.5454,21086.2,3367981.2,255538.3,2298809.6,0,19614.5,1930747.6,630257.8,616277.8,0,,9447,631897.2,33540.5,187903,0,PS 18:0-18:1,18:0,283.2645,13128.4,1448774.3,48312.2,460354.1,0,18:1,281.2486,6486.1,481973.2,581945.5,155923.7,0,None, None, None, None, None, None,87.0344,0,208389.3,3777.9,66006.5,0,None, None, None, None, None, None, None,
PSNegMS2,1.5,H75 C44 N1 O10 P1 ,PS,38,5,None, PS 38:5,808.5146,401.7,176714.8,12261224.7,331183.5,0,0,0,8530.8,-1.7,0,,14714.6,45402,1217261.4,34767.2,0,PS 22:4-16:1,22:4,331.2643,0,0,8532.5,0,0,16:1,253.2176,0,0,-1.7,-1.7,0,None, None, None, None, None, None,87.0354,0,5699.9,497794.6,4546.3,0,None, None, None, None, None, None, None,
PSNegMS2,1.5,H75 C44 N1 O10 P1 ,PS,38,5,None, PS 38:5,808.5146,401.7,176714.8,12261224.7,331183.5,0,-1.7,9740.5,20677.9,42577.7,0,,14714.6,45402,1217261.4,34767.2,0,PS 18:0-20:5,18:0,283.2646,-1.7,9740.5,20677.9,37731.5,0,20:5,301.218,0,0,0,4846.1,0,None, None, None, None, None, None,87.0354,0,5699.9,497794.6,4546.3,0,None, None, None, None, None, None, None,
PSNegMS2,1.5,H75 C44 N1 O10 P1 ,PS,38,5,None, PS 38:5,808.5146,401.7,176714.8,12261224.7,331183.5,0,22582,75198.3,1647644.7,45704.9,0,,14714.6,45402,1217261.4,34767.2,0,PS 22:5-16:0,22:5,329.2488,0,0,21224.5,0,0,16:0,255.2327,22582,75198.3,1626420.1,45704.9,0,None, None, None, None, None, None,87.0354,0,5699.9,497794.6,4546.3,0,None, None, None, None, None, None, None,
PSNegMS2,1.5,H75 C44 N1 O10 P1 ,PS,38,5,None, PS 38:5,808.5146,401.7,176714.8,12261224.7,331183.5,0,4776.3,102269.4,3313409.8,3929.4,0,,14714.6,45402,1217261.4,34767.2,0,PS 18:1-20:4,18:1,281.2482,4776.3,86151.7,2903525.1,3929.4,0,20:4,303.2331,0,16117.7,409884.7,0,0,None, None, None, None, None, None,87.0354,0,5699.9,497794.6,4546.3,0,None, None, None, None, None, None, None,
PSNegMS2,0.7,H77 C44 N1 O10 P1 ,PS,38,4,None, PS 38:4,810.5297,526820,894547.1,20349829.4,342040.9,0,0,17617.9,8378,15031.2,0,,62761.1,197950.5,1951407.5,12581.9,0,PS 18:1-20:3,18:1,281.2485,0,14050.9,-1.7,15031.2,0,20:3,305.2458,0,3566.9,8379.8,0,0,None, None, None, None, None, None,87.0337,23878.2,50711.3,475172.2,2175.6,0,None, None, None, None, None, None, None,
PSNegMS2,0.7,H77 C44 N1 O10 P1 ,PS,38,4,None, PS 38:4,810.5297,526820,894547.1,20349829.4,342040.9,0,-1.7,-1.7,52703.5,-1.7,0,,62761.1,197950.5,1951407.5,12581.9,0,PS 22:4-16:0,22:4,331.2635,0,0,52705.2,0,0,16:0,255.2329,-1.7,-1.7,-1.7,-1.7,0,None, None, None, None, None, None,87.0337,23878.2,50711.3,475172.2,2175.6,0,None, None, None, None, None, None, None,
PSNegMS2,0.7,H77 C44 N1 O10 P1 ,PS,38,4,None, PS 38:4,810.5297,526820,894547.1,20349829.4,342040.9,0,147323.3,458367.8,5983877.6,53401.1,0,,62761.1,197950.5,1951407.5,12581.9,0,PS 20:4-18:0,20:4,303.2331,22613.4,60049.5,963391.2,9304.9,0,18:0,283.2642,124709.8,398318.3,5020486.4,44096.2,0,None, None, None, None, None, None,87.0337,23878.2,50711.3,475172.2,2175.6,0,None, None, None, None, None, None, None,
PSNegMS2,1.5,H81 C44 N1 O10 P1 ,PS,38,2,None, PS 38:2,814.5616,555.4,220893.8,9119.1,58894.6,0,4654.4,27542.5,-1.8,-1.8,0,,9755.5,41326,13926.1,4651.6,0,PS 18:0-20:2,18:0,283.2644,4654.4,22388.8,-1.8,-1.8,0,20:2,307.2639,0,5153.6,0,0,0,None, None, None, None, None, None,87.0341,0,17281.3,0,0,0,None, None, None, None, None, None, None,
PSNegMS2,1.5,H81 C44 N1 O10 P1 ,PS,38,2,None, PS 38:2,814.5616,555.4,220893.8,9119.1,58894.6,0,0,109990.3,10614.3,10853.6,0,,9755.5,41326,13926.1,4651.6,0,PS 18:1-20:1,18:1,281.2486,0,48598.8,10614.3,6399.2,0,20:1,309.2801,0,61391.5,0,4454.4,0,None, None, None, None, None, None,87.0341,0,17281.3,0,0,0,None, None, None, None, None, None, None,
PSNegMS2,0.6,H83 C44 N1 O10 P1 ,PS,38,1,None, PS 38:1,816.5765,0,590984,380131.4,120817.8,0,1149.6,238545,8081.4,7716.8,0,,1794.4,102458.4,13227.1,8680.1,0,PS 18:0-20:1,18:0,283.2648,1149.6,178980.8,2049.5,3703.3,0,20:1,309.2791,0,59564.3,6031.9,4013.6,0,None, None, None, None, None, None,87.0336,0,34206.7,0,0,0,None, None, None, None, None, None, None,
PSNegMS2,0.6,H83 C44 N1 O10 P1 ,PS,38,1,None, PS 38:1,816.5765,0,590984,380131.4,120817.8,0,0,80519.4,19908.6,27435.6,0,,1794.4,102458.4,13227.1,8680.1,0,PS 20:0-18:1,20:0,311.2946,0,44245.8,0,4753.5,0,18:1,281.2483,0,36273.6,19908.6,22682.1,0,None, None, None, None, None, None,87.0336,0,34206.7,0,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1.3,H73 C46 N1 O10 P1 ,PS,40,8,None, PS 40:8,830.4967,0,1075.2,34987002.5,8544,0,0,2174.2,452241.5,23440.3,0,,-1.7,19764.8,3650817.7,3617.8,0,PS 22:6-18:2,22:6,327.232,0,2174.2,109906.1,0,0,18:2,279.2329,0,0,342335.4,23440.3,0,None, None, None, None, None, None,87.0311,0,0,1070883.6,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1.3,H73 C46 N1 O10 P1 ,PS,40,8,None, PS 40:8,830.4967,0,1075.2,34987002.5,8544,0,0,4954.2,9707156.9,0,0,,-1.7,19764.8,3650817.7,3617.8,0,PS 20:4-20:4,20:4,303.2329,0,2477.1,4853578.5,0,0,20:4,303.2329,0,2477.1,4853578.5,0,0,None, None, None, None, None, None,87.0311,0,0,1070883.6,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1.1,H75 C46 N1 O10 P1 ,PS,40,7,None, PS 40:7,832.5125,2727.5,348560,4425947.3,42969.9,0,0,6237.7,224683.1,0,0,,2084.9,80211.6,393866.1,8055.3,0,PS 20:4-20:3,20:4,303.233,0,6237.7,-1.7,0,0,20:3,305.2448,0,0,224684.8,0,0,None, None, None, None, None, None,87.0351,0,15111,12094.3,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1.1,H75 C46 N1 O10 P1 ,PS,40,7,None, PS 40:7,832.5125,2727.5,348560,4425947.3,42969.9,0,11913.9,0,901733.2,39231.3,0,,2084.9,80211.6,393866.1,8055.3,0,PS 18:2-22:5,18:2,279.2329,11913.9,0,861664.8,39231.3,0,22:5,329.2478,0,0,40068.4,0,0,None, None, None, None, None, None,87.0351,0,15111,12094.3,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1.1,H75 C46 N1 O10 P1 ,PS,40,7,None, PS 40:7,832.5125,2727.5,348560,4425947.3,42969.9,0,0,5014,11450.6,0,0,,2084.9,80211.6,393866.1,8055.3,0,PS 18:3-22:4,18:3,277.2161,0,0,11450.6,0,0,22:4,331.2629,0,5014,0,0,0,None, None, None, None, None, None,87.0351,0,15111,12094.3,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1.1,H75 C46 N1 O10 P1 ,PS,40,7,None, PS 40:7,832.5125,2727.5,348560,4425947.3,42969.9,0,4138.5,192054.7,2221598.2,82090.6,0,,2084.9,80211.6,393866.1,8055.3,0,PS 22:6-18:1,22:6,327.2328,0,18116.7,151831.4,0,0,18:1,281.2485,4138.5,173937.9,2069766.8,82090.6,0,None, None, None, None, None, None,87.0351,0,15111,12094.3,0,0,None, None, None, None, None, None, None,
PSNegMS2,-0.4,H77 C46 N1 O10 P1 ,PS,40,6,None, PS 40:6,834.5287,21490.6,9288592.4,7932040.3,210716.4,0,0,4969.5,25568.5,-1.7,0,,38338.1,1758675.2,1074307.2,27958.6,4065.1,PS 22:4-18:2,22:4,331.2646,0,4969.5,25570.2,0,0,18:2,279.233,0,0,-1.7,-1.7,0,None, None, None, None, None, None,87.0313,3739.9,411974.7,311211.8,0,0,None, None, None, None, None, None, None,
PSNegMS2,-0.4,H77 C46 N1 O10 P1 ,PS,40,6,None, PS 40:6,834.5287,21490.6,9288592.4,7932040.3,210716.4,0,0,0,53790.3,0,0,,38338.1,1758675.2,1074307.2,27958.6,4065.1,PS 20:4-20:2,20:4,303.233,0,0,13029.3,0,0,20:2,307.264,0,0,40761,0,0,None, None, None, None, None, None,87.0313,3739.9,411974.7,311211.8,0,0,None, None, None, None, None, None, None,
