QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,NEG
LPANegMS2,H40 C21 O7 P1 ,-0.1,LPA,18,1,LPA 18:1,LPA 18:1,435.2517,112942.9,92468.4,357900.3,113419.6,40188.2,2720.6,2532,2771.5,0,0,18:1,281.2486,2720.6,2532,2771.5,0,0,,4410.2,38463.9,50284.5,15196.7,2041.5,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H42 C21 O7 P1 ,-0.7,LPA,18,0,LPA 18:0,LPA 18:0,437.2671,4075.8,52136.7,308624.9,27698.6,954.9,22659.7,21439.6,13843.4,8566.9,7429.7,18:0,283.2642,22659.7,21439.6,13843.4,8566.9,7429.7,,13784.1,41683.9,153185.4,13033.5,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H36 C23 O7 P1 ,0.2,LPA,20,5,LPA 20:5,LPA 20:5,455.2205,0,0,0,1390.2,0,0,0,1975.9,0,0,20:5,301.2151,0,0,1975.9,0,0,,35663.8,18384.1,17886.9,17111.7,8642.1,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H38 C23 O7 P1 ,2.7,LPA,20,4,LPA 20:4,LPA 20:4,457.2373,0,921.8,39687.2,327.7,338.6,0,0,2006.4,0,0,20:4,303.2331,0,0,2006.4,0,0,,4003.2,12783.4,35855.3,5371.7,828.5,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPEONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEONegMS2,H39 C21 N1 O6 P1 ,-4.4,LPEO-,16,3,LPEO- 16:3,LPEO- 16:3,432.2501,0,0,1328.3,0,0,0,0,1328.3,0,0,None, None, None, None, None, None, None,196.0372,135084.6,17216.2,15512.6,66498.3,20477.5,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H41 C21 N1 O6 P1 ,-4.2,LPEO-,16,2,LPEO- 16:2,LPEO- 16:2,434.2659,0,229.9,2122.2,0,0,0,229.9,2122.2,0,0,None, None, None, None, None, None, None,196.0382,-1.3,0,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H43 C21 N1 O6 P1 ,0.4,LPEO-,16,1,LPEO- 16:1,LPEO- 16:1,436.2835,3071.7,150808.2,96368.1,72899.1,0,3071.7,150808.2,96368.1,72899.1,0,None, None, None, None, None, None, None,196.0377,1903.3,19694.5,6528.2,4232.6,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H41 C23 N1 O6 P1 ,2.3,LPEO-,18,4,LPEO- 18:4,LPEO- 18:4,458.2687,524935.3,801.6,0,319.5,0,524935.3,801.6,0,319.5,0,None, None, None, None, None, None, None,196.0387,0,0,0,2045.7,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H43 C23 N1 O6 P1 ,-1.1,LPEO-,18,3,LPEO- 18:3,LPEO- 18:3,460.2829,0,0,549.1,0,0,0,0,549.1,0,0,None, None, None, None, None, None, None,196.036,0,0,2085.5,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H45 C23 N1 O6 P1 ,1.2,LPEO-,18,2,LPEO- 18:2,LPEO- 18:2,462.2995,849.4,159743.6,45053.4,42416.2,0,849.4,159743.6,45053.4,42416.2,0,None, None, None, None, None, None, None,196.0373,0,22716.7,3182.4,1920.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H47 C23 N1 O6 P1 ,0.1,LPEO-,18,1,LPEO- 18:1,LPEO- 18:1,464.3147,0,146257.9,28203.5,5970.7,0,0,146257.9,28203.5,5970.7,0,None, None, None, None, None, None, None,196.0371,290037.1,202200.5,97280.9,116929.2,58928.1,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H49 C23 N1 O6 P1 ,-1.4,LPEO-,18,0,LPEO- 18:0,LPEO- 18:0,466.3297,0,0,1549.1,0,0,0,0,1549.1,0,0,None, None, None, None, None, None, None,196.0377,-1.3,-1.3,0,-1.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H39 C25 N1 O6 P1 ,4.1,LPEO-,20,7,LPEO- 20:7,LPEO- 20:7,480.254,0,0,0,0,1368.9,0,0,0,0,1368.9,None, None, None, None, None, None, None,196.037,9001,26526.5,11896.1,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H43 C25 N1 O6 P1 ,-4.8,LPEO-,20,5,LPEO- 20:5,LPEO- 20:5,484.281,0,523.9,0,1891.2,0,0,523.9,0,1891.2,0,None, None, None, None, None, None, None,196.0373,0,2745.2,3077.3,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H49 C25 N1 O6 P1 ,-0.9,LPEO-,20,2,LPEO- 20:2,LPEO- 20:2,490.3299,0,327.9,0,0,0,0,327.9,0,0,0,None, None, None, None, None, None, None,196.0372,28308.9,4644.7,2940.2,12057.5,3585.6,None, None, None, None, None, None, None, None, None, None, None, None,
